sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio,synthetic_source,accepted,reject_reasons,inside_mean_abs_diff,outside_mean_abs_diff,outside_p95_abs_diff
leather_trad_fold_001,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\084.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_001.json,16650,0.015878677368164062,traditional,1,,5.42678689956665,0.0,0.0
leather_trad_fold_003,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\164.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_003.json,20226,0.019289016723632812,traditional,1,,7.369952201843262,0.002725077560171485,0.0
leather_trad_fold_004,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\079.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_004.json,10913,0.010407447814941406,traditional,1,,7.6772966384887695,0.0005663367337547243,0.0
leather_trad_fold_005,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\108.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_005.json,14199,0.013541221618652344,traditional,1,,5.270512104034424,0.0027620489709079266,0.0
leather_trad_fold_012,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\099.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_012.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_012_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_012.json,13110,0.012502670288085938,traditional,1,,7.8825836181640625,0.000504442723467946,0.0
leather_trad_fold_013,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\117.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_013.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_013_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_013.json,20080,0.0191497802734375,traditional,1,,6.3089141845703125,0.0011774474987760186,0.0
leather_trad_fold_015,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\172.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_015.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_015_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_015.json,21516,0.020519256591796875,traditional,1,,7.247583389282227,9.736529136716854e-06,0.0
leather_trad_fold_016,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\197.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_016.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_016_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_016.json,19769,0.018853187561035156,traditional,1,,4.1948676109313965,0.0021183111239224672,0.0
leather_trad_fold_017,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\073.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_017.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_017_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_017.json,23517,0.02242755889892578,traditional,1,,6.414806365966797,0.0023702699691057205,0.0
leather_trad_fold_019,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\020.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\images\leather_trad_fold_019.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\masks\leather_trad_fold_019_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage12_leather_fold_fix\traditional\leather\metadata\leather_trad_fold_019.json,12183,0.011618614196777344,traditional,1,,6.295384883880615,1.6081416106317192e-05,0.0
