synthetic_source,defect_type,total,accepted,rejected,accept_rate,mean_mask_area_ratio,mean_inside_abs_diff,mean_outside_abs_diff
traditional,color,20,20,0,1.0,0.0361020565032959,23.4257896900177,0.03907245928421617
traditional,combined,20,20,0,1.0,0.05865082740783691,32.2728075504303,0.03450746759772301
traditional,hole,20,20,0,1.0,0.020290279388427736,70.42095260620117,0.016937650647014378
traditional,liquid,20,19,1,0.95,0.052648305892944336,6.842284154891968,0.011613086261786521
traditional,scratch,20,16,4,0.8,0.0020303249359130858,9.401943063735962,0.003540143693680875
diffusion,color,10,10,0,1.0,0.035210704803466795,25.863744735717773,6.107955074310302
diffusion,combined,10,10,0,1.0,0.06743736267089843,23.55621337890625,5.931773328781128
diffusion,hole,10,10,0,1.0,0.018953418731689452,70.82033729553223,6.278151273727417
diffusion,liquid,10,10,0,1.0,0.052231788635253906,9.336094760894776,6.244241380691529
diffusion,scratch,10,9,1,0.9,0.0022110939025878906,8.134000396728515,6.091092681884765
