synthetic_source,defect_type,total,accepted,rejected,accept_rate,mean_mask_area_ratio,mean_inside_abs_diff,mean_outside_abs_diff
traditional,crack,20,20,0,1.0,0.0069980867346938775,88.71132621765136,0.062369192205369475
traditional,glue_strip,20,20,0,1.0,0.029152919501133783,53.30154590606689,0.012477659806609153
traditional,gray_stroke,20,20,0,1.0,0.017576743197278914,33.19516324996948,0.012908748560585081
traditional,oil,20,20,0,1.0,0.059855442176870756,11.394771385192872,0.022802399517968298
traditional,rough,20,20,0,1.0,0.038187358276644,23.057840633392335,0.007162400789093226
diffusion,crack,10,10,0,1.0,0.007019132653061225,34.73337192535401,6.499810695648193
diffusion,glue_strip,10,10,0,1.0,0.02878798185941043,43.00265235900879,6.482541704177857
diffusion,gray_stroke,10,10,0,1.0,0.01779719387755102,31.83174533843994,6.577757549285889
diffusion,oil,10,10,0,1.0,0.05416468253968254,23.348456382751465,6.488165235519409
diffusion,rough,10,10,0,1.0,0.042903202947845796,25.590508270263673,6.494005918502808
