source,image_path,mask_path,area_ratio,bbox_width_ratio,bbox_height_ratio,bbox_aspect_ratio,bbox_fill_ratio,inside_gray,outside_gray,inside_minus_outside
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\000.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\000_mask.png,0.09984302520751953,0.662109375,0.7939453125,0.8339483394833949,0.18993167807784272,160.01193237304688,148.23599243164062,11.77593994140625
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\001.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\001_mask.png,0.008801460266113281,0.029296875,1.0,0.029296875,0.3004231770833333,134.22547912597656,119.28214263916016,14.943336486816406
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\002.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\002_mask.png,0.05136585235595703,0.80859375,0.2890625,2.7972972972972974,0.21976188144666406,138.3184356689453,131.791015625,6.5274200439453125
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\003.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\003_mask.png,0.014054298400878906,0.5869140625,0.2197265625,2.671111111111111,0.10898132741726752,142.72633361816406,132.2329864501953,10.49334716796875
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\004.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\004_mask.png,0.021262168884277344,0.54296875,0.7109375,0.7637362637362637,0.05508093525179856,143.5757293701172,137.51185607910156,6.063873291015625
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\005.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\005_mask.png,0.1047515869140625,0.478515625,0.9404296875,0.5088265835929388,0.23277597643418738,151.44630432128906,143.31695556640625,8.129348754882812
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\006.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\006_mask.png,0.41269493103027344,1.0,1.0,1.0,0.41269493103027344,148.13446044921875,139.81304931640625,8.3214111328125
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\007.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\007_mask.png,0.31539058685302734,0.9130859375,0.9033203125,1.0108108108108107,0.3823801127330539,158.62017822265625,133.1156768798828,25.504501342773438
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\008.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\008_mask.png,0.02409839630126953,0.5771484375,0.41015625,1.4071428571428573,0.10180082185158328,146.18081665039062,119.79191589355469,26.388900756835938
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\009.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\009_mask.png,0.024672508239746094,0.798828125,0.3125,2.55625,0.09883481051344743,144.9791717529297,136.64144897460938,8.337722778320312
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\010.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\010_mask.png,0.027545928955078125,0.60546875,0.9150390625,0.6616862326574173,0.04971942024993975,125.62882232666016,134.706298828125,-9.077476501464844
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\011.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\011_mask.png,0.1222982406616211,1.0,0.38671875,2.585858585858586,0.31624595565025254,121.32657623291016,128.52731323242188,-7.200736999511719
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\012.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\012_mask.png,0.06969547271728516,0.5498046875,0.67578125,0.8135838150289018,0.18758149467653673,144.6849365234375,128.71507263183594,15.969863891601562
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\013.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\013_mask.png,0.011495590209960938,0.67578125,0.4482421875,1.5076252723311547,0.03795005478106464,122.38899993896484,128.12266540527344,-5.733665466308594
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\014.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\014_mask.png,0.025414466857910156,0.580078125,0.3212890625,1.8054711246200608,0.13636363636363635,164.5063934326172,145.1071014404297,19.3992919921875
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\015.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\015_mask.png,0.022800445556640625,0.7802734375,0.8408203125,0.9279907084785134,0.03475308130517386,130.10552978515625,120.84027862548828,9.265251159667969
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\016.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\016_mask.png,0.06192302703857422,0.4599609375,1.0,0.4599609375,0.13462670846602973,148.92112731933594,143.7837371826172,5.13739013671875
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\017.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\017_mask.png,0.06163597106933594,0.783203125,0.697265625,1.123249299719888,0.11286559511585183,137.1790313720703,127.82818603515625,9.350845336914062
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\018.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\018_mask.png,0.044722557067871094,0.244140625,0.2197265625,1.1111111111111112,0.8336888888888889,133.91168212890625,128.6389923095703,5.2726898193359375
real,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\test\scratch\019.png,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\ground_truth\scratch\019_mask.png,0.014759063720703125,0.734375,0.384765625,1.9086294416243654,0.05223296252295064,138.9992218017578,132.63970947265625,6.3595123291015625
